room_type,review_count,avg_rating,is_superhost,bedrooms,beds,bathrooms,persons,lat,lng,neighborhood,dist_center_km,is_tourist_zone,is_entire_home,est_active_months,est_start_year,price_eur_night,early_adopter,log_price,maturity,price_tier
Entire home/apt,2,4.92,1,2,2,1,4,41.31223693491409,19.803244024515152,Kombinat,2.411,0,1,1,2025,340.0,0,5.831882477283517,early,premium
Entire home/apt,15,5.0,1,2,3,2,5,41.31209792258405,19.802947975695133,Kombinat,2.445,0,1,6,2025,535.0,0,6.284134161070802,active,luxury
Entire home/apt,17,5.0,1,2,1,2,7,41.311886126181705,19.803024418652058,Kombinat,2.456,0,1,7,2025,500.0,0,6.2166061010848646,active,premium
Entire home/apt,36,4.92,1,1,1,1,2,41.31653155421361,19.805723391473293,Kombinat,1.886,0,1,14,2024,241.0,0,5.488937726156687,active,mid
Entire home/apt,60,4.83,1,1,1,1,2,41.32053807811115,19.808179325794963,Kombinat,1.4,0,1,24,2023,644.0,0,6.4692503167957724,established,luxury
Entire home/apt,80,4.73,0,1,3,1,3,41.31517,19.80717,Kombinat,1.874,0,1,32,2023,289.0,0,5.66988092298052,established,mid
Entire home/apt,22,5.0,1,2,4,2,4,41.312935,19.809336,Shkoza,1.922,0,1,9,2025,524.0,0,6.263398262591624,active,luxury
Entire home/apt,49,4.98,1,1,3,1,4,41.31445,19.80762,Kombinat,1.9,0,1,20,2024,338.0,0,5.82600010738045,active,premium
Entire home/apt,47,5.0,1,1,1,1,4,41.32439,19.80778,Blloku,1.26,1,1,19,2024,460.0,0,6.133398042996649,active,premium
Entire home/apt,20,4.5,0,1,1,1,2,41.3196032065532,19.80252820547974,Kombinat,1.998,0,1,8,2025,190.0,0,5.25227342804663,active,mid
Entire home/apt,54,4.93,0,1,1,1,3,41.31754,19.80749,Kombinat,1.665,0,1,22,2024,337.0,0,5.823045895483019,established,premium
Entire home/apt,10,4.3,0,2,2,1,4,41.31135,19.80284,Kombinat,2.513,0,1,4,2025,287.0,0,5.662960480135946,early,mid
Entire home/apt,13,5.0,0,1,3,1,4,41.3191168429838,19.804714359092728,Kombinat,1.81,0,1,5,2025,281.0,0,5.641907070938114,active,mid
Entire home/apt,41,4.85,1,2,3,2,4,41.32090572355104,19.805972166359425,Kombinat,1.591,0,1,16,2024,404.0,0,6.003887067106539,active,premium
Entire home/apt,21,4.95,1,1,1,1,3,41.3239519,19.7954421,Kombinat,2.611,0,1,8,2025,408.0,0,6.013715156042802,active,premium
Entire home/apt,49,4.84,0,1,1,1,3,41.31782,19.80302,Kombinat,2.045,0,1,20,2024,338.0,0,5.82600010738045,active,premium
Entire home/apt,220,4.98,1,1,1,1,2,41.316441,19.805449,Kombinat,1.916,0,1,84,2018,465.0,1,6.144185634125646,veteran,premium
Entire home/apt,193,4.93,1,1,2,1,2,41.3214365,19.8080023,Kombinat,1.365,0,1,77,2019,206.0,1,5.332718793265369,veteran,mid
Entire home/apt,70,4.93,1,1,1,1,3,41.316792,19.806656,Kombinat,1.789,0,1,28,2023,309.0,0,5.736572297479192,established,premium
Entire home/apt,3,5.0,1,1,1,1,3,41.32445653075354,19.80880078836061,Blloku,1.15,1,1,1,2025,311.0,0,5.7430031878094825,early,premium
Entire home/apt,5,5.0,0,1,1,1,2,41.32190762896269,19.792999662458897,Kombinat,2.919,0,1,2,2025,548.0,0,6.3080984415095305,early,luxury
Entire home/apt,19,5.0,1,2,2,1,4,41.31256,19.80519,Kombinat,2.236,0,1,8,2025,330.0,0,5.802118375377063,active,premium
Entire home/apt,0,4.92,0,1,1,1,2,41.32132825161479,19.806995764374733,Kombinat,1.469,0,1,1,2025,236.0,0,5.4680601411351315,new,mid
Entire home/apt,146,4.88,1,3,3,2,6,41.32254787111672,19.809877586083136,Blloku,1.123,1,1,58,2021,480.0,0,6.175867270105761,established,premium
Entire home/apt,13,4.46,0,2,2,2,5,41.32203101659137,19.796619974076748,Kombinat,2.525,0,1,5,2025,695.0,0,6.54534966033442,active,luxury
Entire home/apt,31,4.84,1,2,3,2,4,41.32155041792788,19.807560102008075,Kombinat,1.402,0,1,12,2024,545.0,0,6.302618975744905,active,luxury
Entire home/apt,62,4.76,0,1,1,1,4,41.3160138,19.8072865,Kombinat,1.797,0,1,25,2023,403.0,0,6.0014148779611505,established,premium
Entire home/apt,1,4.92,0,2,3,2,5,41.31439813518656,19.804723262786865,Kombinat,2.126,0,1,1,2025,338.0,0,5.82600010738045,early,premium
Entire home/apt,28,5.0,1,2,3,1,3,41.3204857,19.8093127,Blloku,1.301,1,1,11,2025,439.0,0,6.0867747269123065,active,premium
Entire home/apt,56,4.96,0,1,2,1,4,41.3191625,19.8049844,Kombinat,1.782,0,1,22,2024,412.0,0,6.023447592961033,established,premium
Entire home/apt,13,4.92,1,1,3,1,4,41.32391,19.80413,Kombinat,1.666,0,1,5,2025,256.0,0,5.54907608489522,active,mid
Entire home/apt,68,4.93,1,1,1,1,3,41.32489,19.80544,Kombinat,1.5,0,1,27,2023,290.0,0,5.673323267171493,established,mid
Entire home/apt,2,4.92,0,1,1,1,2,41.32459878020691,19.80996698141098,Blloku,1.021,1,1,1,2025,293.0,0,5.683579767338681,early,mid
Entire home/apt,0,4.92,0,1,1,1,3,41.30934037087388,19.805658247049102,Shkoza,2.482,0,1,1,2025,368.0,0,5.910796644040527,new,premium
Entire home/apt,47,4.87,0,1,1,1,3,41.315605423229975,19.80553044875408,Kombinat,1.97,0,1,19,2024,340.0,0,5.831882477283517,active,premium
Entire home/apt,20,4.55,0,1,1,1,2,41.3172777325154,19.80563116389312,Kombinat,1.842,0,1,8,2025,293.0,0,5.683579767338681,active,mid
Entire home/apt,168,4.96,1,1,1,1,2,41.324243,19.806874,Blloku,1.362,1,1,67,2020,379.0,1,5.940171252720432,veteran,premium
Entire home/apt,117,4.98,1,1,2,1,4,41.321228,19.8060403,Kombinat,1.568,0,1,47,2022,319.0,0,5.768320995793772,established,premium
Entire home/apt,143,4.98,1,1,2,1,3,41.3160541,19.8057601,Kombinat,1.918,0,1,57,2021,541.0,0,6.295266001439646,established,luxury
Entire home/apt,135,4.85,1,1,1,1,3,41.31687,19.80577,Kombinat,1.858,0,1,54,2021,359.0,0,5.886104031450156,established,premium
Entire home/apt,113,4.89,1,1,1,1,3,41.3182,19.80961,Kombinat,1.444,0,1,45,2022,244.0,0,5.501258210544727,established,mid
Entire home/apt,36,4.97,0,1,1,1,3,41.31315344369661,19.80785809457302,Shkoza,1.996,0,1,14,2024,543.0,0,6.298949246855942,active,luxury
Entire home/apt,174,4.82,0,1,1,1,3,41.31323,19.80694,Shkoza,2.053,0,1,70,2020,332.0,1,5.808142489980444,veteran,premium
Entire home/apt,0,4.92,0,1,2,1,2,41.31401,19.7905,Kombinat,3.47,0,1,1,2025,226.0,0,5.424950017481403,new,mid
Entire home/apt,33,4.97,1,1,3,1,4,41.32163,19.7953,Kombinat,2.678,0,1,13,2024,355.0,0,5.87493073085203,active,premium
Entire home/apt,32,4.91,1,2,3,1,5,41.3239519,19.7954421,Kombinat,2.611,0,1,13,2024,509.0,0,6.234410725718371,active,luxury
Entire home/apt,7,5.0,1,1,1,1,3,41.32305962094889,19.794244273369515,Kombinat,2.759,0,1,3,2025,701.0,0,6.553933404025811,early,luxury
Entire home/apt,24,4.63,0,1,1,1,3,41.32330037571304,19.80977696085205,Blloku,1.095,1,1,10,2025,325.0,0,5.786897381366708,active,premium
Entire home/apt,82,4.84,0,1,1,1,3,41.31795,19.80757,Kombinat,1.628,0,1,33,2023,272.0,0,5.60947179518496,established,mid
Entire home/apt,19,5.0,1,0,1,1,3,41.31295,19.80845,Shkoza,1.976,0,1,8,2025,616.0,0,6.424869023905388,active,luxury
Entire home/apt,81,4.95,1,2,3,2,4,41.32377567482608,19.80937622487545,Blloku,1.114,1,1,32,2023,607.0,0,6.410174881966167,established,luxury
Entire home/apt,47,4.94,1,1,1,1,2,41.31279,19.80239,Kombinat,2.438,0,1,19,2024,290.0,0,5.673323267171493,active,mid
Entire home/apt,14,4.93,1,1,1,1,3,41.3226626,19.7949085,Kombinat,2.695,0,1,6,2025,385.0,0,5.955837369464831,active,premium
Entire home/apt,62,4.97,1,1,3,1,4,41.32267950000001,19.8093246,Blloku,1.17,1,1,25,2023,351.0,0,5.863631175598097,established,premium
Entire home/apt,14,4.93,0,2,2,1,6,41.323411543792005,19.809690936770632,Blloku,1.098,1,1,6,2025,429.0,0,6.063785208687608,active,premium
Entire home/apt,162,4.95,1,1,1,1,3,41.32479,19.80854,Blloku,1.167,1,1,65,2020,290.0,1,5.673323267171493,veteran,mid
Entire home/apt,47,4.96,1,1,1,1,2,41.32443,19.80779,Blloku,1.258,1,1,19,2024,301.0,0,5.71042701737487,active,premium
Entire home/apt,56,4.82,0,2,1,1,4,41.32044,19.80837,Kombinat,1.389,0,1,22,2024,274.0,0,5.616771097666572,established,mid
Entire home/apt,18,5.0,1,2,3,2,5,41.32200709305359,19.79674201458693,Kombinat,2.512,0,1,7,2025,465.0,0,6.144185634125646,active,premium
Entire home/apt,73,4.84,1,2,4,1,5,41.3163014035171,19.807250909507275,Kombinat,1.778,0,1,29,2023,256.0,0,5.54907608489522,established,mid
