name,neighborhood,search_zone,lat,lng,est_start_year
Sueño Suit 08,Laprake,Laprake,41.34707,19.8337,2024
Realm Tirana,Kinostudio,Laprake,41.3410095,19.8417414,2025
Balcony apartments  1+1 nro 102,Liqeni,Laprake,41.3456,19.83951,2025
Sueño Apartment 05,Laprake,Laprake,41.34777975948686,19.832831944919786,2025
dianahome1,Laprake,Laprake,41.34893649118527,19.82639671202812,2025
Juljet Nest Modern Apartment Balcony City Vibe,Liqeni,Laprake,41.34513227633232,19.838545307472245,2025
Welcome at DS' Apartments!,Liqeni,Laprake,41.34189631048194,19.83633036050133,2025
Chestnut Yard- Apt with garden view and yard,Liqeni,Laprake,41.34299,19.83296,2025
MAin Luxury Apartment in Tirana.,Bulevardi,Laprake,41.34041445423596,19.829283125259963,2022
Cheap Studio Flats to rent in Tirana no 6,Liqeni,Laprake,41.34208,19.83627,2025
Long term stay Airbnb in Albania no 2,Liqeni,Laprake,41.34325,19.835119,2025
Duplex Studio Apartment 1 in Tirana,Liqeni,Laprake,41.34257,19.83406,2025
Loe apartament,Bulevardi,Laprake,41.34044827269814,19.829172268509865,2025
Sueño Apartment 06,Laprake,Laprake,41.34743,19.83246,2025
Sueño Apartment 07,Laprake,Laprake,41.34771,19.8325,2025
The Nest Inn Tirana,Liqeni,Laprake,41.34459,19.83572,2025
Sueño Apartments 10,Laprake,Laprake,41.34807,19.8333,2025
Emerald Apartament,Bulevardi,Laprake,41.34064,19.82942,2025
ERG 04 - Apartments Tirana,Liqeni,Laprake,41.34287,19.83188,2025
Terrace Escape Studio,Don Bosko,Don Bosko,41.31754688776997,19.84161767774273,2025
A&Z hotel,Don Bosko,Don Bosko,41.316265635754576,19.840484149754047,2025
Couples Room Sun Lake Villa 7,Don Bosko,Don Bosko,41.316731751740114,19.85568221658468,2025
Deluxe Double Room 2,Don Bosko,Don Bosko,41.32336,19.84928,2024
